Name,organizationId,appId,Link,Status,Status Time
105.7 The X,Cumulus-Media,1057-the-x,https://studio.xapp.ai/Cumulus-Media/1057-the-x,Live,2017-09-29T18:42:08.510Z
105.7 The X Rocks,Cumulus-Media,1057-the-x-rocks,https://studio.xapp.ai/Cumulus-Media/1057-the-x-rocks,Live,2017-09-29T18:49:25.637Z
105.9 The Rebel,Cumulus-Media,1059-the-rebel,https://studio.xapp.ai/Cumulus-Media/1059-the-rebel,Archived,2019-09-23T18:22:33.566Z
106.1 NASH-FM,Cumulus-Media,1061-nash-fm,https://studio.xapp.ai/Cumulus-Media/1061-nash-fm,Live,2017-09-29T18:25:06.767Z
106.3 Spin FM,Cumulus-Media,1063-spin-fm,https://studio.xapp.ai/Cumulus-Media/1063-spin-fm,Live,2017-09-29T19:01:32.386Z
106.3 The Vibe,Cumulus-Media,1063-the-vibe,https://studio.xapp.ai/Cumulus-Media/1063-the-vibe,Live,2021-11-23T16:31:05.555Z
106.5 The Ticket Toledo,Cumulus-Media,1065-the-ticket-toledo,https://studio.xapp.ai/Cumulus-Media/1065-the-ticket-toledo,Archived,2021-05-12T19:25:29.984Z
106.7 The Big Dog,Cumulus-Media,1067-the-big-dog,https://studio.xapp.ai/Cumulus-Media/1067-the-big-dog,Live,2018-06-13T15:43:10.202Z
106.7 The Krewe,Cumulus-Media,1067-the-krewe,https://studio.xapp.ai/Cumulus-Media/1067-the-krewe,Live,2019-03-13T15:53:50.428Z
107.3 Kansas City Magic,Cumulus-Media,1073-kansas-city-magic,https://studio.xapp.ai/Cumulus-Media/1073-kansas-city-magic,Live,2020-02-28T23:19:02.251Z
107.3 WBBL-FM,Cumulus-Media,1073-wbbl-fm,https://studio.xapp.ai/Cumulus-Media/1073-wbbl-fm,Live,2017-09-29T18:44:37.135Z
107.5 The Game,Cumulus-Media,1075-the-game,https://studio.xapp.ai/Cumulus-Media/1075-the-game,Live,2017-09-29T18:40:10.310Z
107.7 The Bone,Cumulus-Media,1077-the-bone,https://studio.xapp.ai/Cumulus-Media/1077-the-bone,Live,2017-09-29T18:22:58.819Z
107.9 & 980 The WAAV,Cumulus-Media,1079-980-the-waav,https://studio.xapp.ai/Cumulus-Media/1079-980-the-waav,Live,2023-02-28T20:13:43.649Z
107.9 The Mix,Cumulus-Media,1079-the-mix-indy,https://studio.xapp.ai/Cumulus-Media/1079-the-mix-indy,Live,2019-03-21T19:22:45.607Z
1250 WTMA,Cumulus-Media,1250-wtma,https://studio.xapp.ai/Cumulus-Media/1250-wtma,Live,2017-09-29T18:41:53.151Z
1280 WNAM,Cumulus-Media,1280-wnam,https://studio.xapp.ai/Cumulus-Media/1280-wnam,Live,2018-05-29T16:46:22.547Z
1280 WNAM,Cumulus-Media,1280wnam,https://studio.xapp.ai/Cumulus-Media/1280wnam,,
1440 KMAJ,Cumulus-Media,1440-kmaj,https://studio.xapp.ai/Cumulus-Media/1440-kmaj,Live,2017-09-29T19:00:12.841Z
1490 WOSH,Cumulus-Media,1490-wosh,https://studio.xapp.ai/Cumulus-Media/1490-wosh,Live,2017-09-29T18:56:59.133Z
1490 WOSH,Cumulus-Media,1490wosh,https://studio.xapp.ai/Cumulus-Media/1490wosh,,
1700 The Champ,Cumulus-Media,1700-kbgg,https://studio.xapp.ai/Cumulus-Media/1700-kbgg,Live,2019-04-29T19:25:00.621Z
1700 The Champ,Cumulus-Media,1700-the-champ,https://studio.xapp.ai/Cumulus-Media/1700-the-champ,Live,2019-02-12T18:52:28.480Z
570 KLIF,Cumulus-Media,570-klif,https://studio.xapp.ai/Cumulus-Media/570-klif,Live,2017-09-29T18:43:32.056Z
610 KNML The Sports Animal,Cumulus-Media,610-knml-the-sports-animal,https://studio.xapp.ai/Cumulus-Media/610-knml-the-sports-animal,Live,2017-09-29T18:50:58.063Z
670 KBOI,Cumulus-Media,670-kboi,https://studio.xapp.ai/Cumulus-Media/670-kboi,Live,2017-09-29T18:40:51.005Z
710 WFNR,Cumulus-Media,710-wfnr,https://studio.xapp.ai/Cumulus-Media/710-wfnr,Live,2017-09-29T19:01:40.528Z
730 AM The Ump,Cumulus-Media,730-am-the-ump,https://studio.xapp.ai/Cumulus-Media/730-am-the-ump,Live,2017-10-13T15:56:45.045Z
77 WABC,Cumulus-Media,77-wabc,https://studio.xapp.ai/Cumulus-Media/77-wabc,Archived,2020-05-29T20:20:33.942Z
810 The Spread,Cumulus-Media,810-the-spread,https://studio.xapp.ai/Cumulus-Media/810-the-spread,,
860 KKAT,Cumulus-Media,860-kkat,https://studio.xapp.ai/Cumulus-Media/860-kkat,Live,2020-11-17T21:45:02.818Z
860 KKAT,Cumulus-Media,861-kkat,https://studio.xapp.ai/Cumulus-Media/861-kkat,Live,2017-09-29T18:49:57.736Z
92 KQRS,Cumulus-Media,92-kqrs,https://studio.xapp.ai/Cumulus-Media/92-kqrs,Live,2017-09-29T18:46:08.378Z
92 PRO-FM,Cumulus-Media,92-pro-fm,https://studio.xapp.ai/Cumulus-Media/92-pro-fm,Live,2017-09-29T18:41:43.916Z
92 Q,Cumulus-Media,92-q,https://studio.xapp.ai/Cumulus-Media/92-q,Live: Requires Cert,2022-09-02T15:28:50.579Z
